epoch,global_step,DS_active_ratio,SD_active_ratio,DS_gate_mean,SD_gate_mean,DS_M0,SD_M0,DS_mass_ratio,SD_mass_ratio,DS_linear_ratio,SD_linear_ratio,DS_SRMD_factor,SD_SRMD_factor,DS_L_RE,SD_L_RE,DS_L_RMD,SD_L_RMD
1,11,0.96875,1.0,4.71444034576416,5.336475849151611,5.080983832478523,5.612510189414024,0.9278594851493835,0.9508178234100342,0.9278594851493835,0.9508178234100342,0.9632546305656433,0.9750989079475403,0.5110635757446289,0.5736244916915894,0.49228435754776,0.5593405961990356
1,12,1.0,1.0,5.054935932159424,5.8944268226623535,5.080983832478523,5.612510189414024,0.9948732256889343,1.0502299070358276,0.9948732256889343,1.0502299070358276,0.9974333047866821,1.0248072147369385,0.5112191438674927,0.5825332999229431,0.5099070072174072,0.596984326839447
1,13,1.0,1.0,5.225947856903076,5.566411018371582,5.080983832478523,5.612510189414024,1.028530478477478,0.9917861819267273,1.028530478477478,0.9917861819267273,1.014164924621582,0.9958845973014832,0.5376624464988708,0.6213732957839966,0.5452783703804016,0.618816077709198
1,14,1.0,1.0,4.361433982849121,5.259601593017578,5.080983832478523,5.612510189414024,0.8583835363388062,0.9371209144592285,0.8583835363388062,0.9371209144592285,0.9264898896217346,0.9680500626564026,0.5680340528488159,0.6124396324157715,0.5262777805328369,0.5928722023963928
1,15,1.0,1.0,5.009014129638672,5.626981735229492,5.080983832478523,5.612510189414024,0.9858352541923523,1.0025782585144043,0.9858352541923523,1.0025782585144043,0.9928923845291138,1.0012882947921753,0.5666555166244507,0.6436623334884644,0.5626279711723328,0.6444915533065796
1,16,1.0,1.0,4.82646369934082,5.499751091003418,5.080983832478523,5.612510189414024,0.9499070644378662,0.9799091219902039,0.9499070644378662,0.9799091219902039,0.9746317863464355,0.9899035692214966,0.566361129283905,0.6499754786491394,0.5519935488700867,0.6434130668640137
1,17,1.0,1.0,4.318066596984863,5.184088706970215,5.080983832478523,5.612510189414024,0.8498483300209045,0.9236665368080139,0.8498483300209045,0.9236665368080139,0.9218721985816956,0.9610757231712341,0.5959012508392334,0.6497660875320435,0.5493447780609131,0.6244744062423706
1,18,0.96875,1.0,4.328859329223633,5.190544128417969,5.080983832478523,5.612510189414024,0.8519724607467651,0.9248167276382446,0.8519724607467651,0.9248167276382446,0.923023521900177,0.9616739153862,0.556136429309845,0.5840088725090027,0.5133270025253296,0.5616260766983032
1,19,1.0,1.0,4.768248081207275,5.414719581604004,5.080983832478523,5.612510189414024,0.938449501991272,0.9647588133811951,0.938449501991272,0.9647588133811951,0.9687360525131226,0.9822213649749756,0.602107048034668,0.6479230523109436,0.5832828283309937,0.6364038586616516
1,20,1.0,1.0,5.121560096740723,5.399764060974121,5.080983832478523,5.612510189414024,1.0079855918884277,0.9620941281318665,1.0079855918884277,0.9620941281318665,1.003984808921814,0.9808639883995056,0.5360508561134338,0.6249369978904724,0.5381869077682495,0.6129782199859619
1,21,1.0,1.0,4.769616603851318,5.717092037200928,5.080983832478523,5.612510189414024,0.938718855381012,1.018633484840393,0.938718855381012,1.018633484840393,0.9688750505447388,1.0092737674713135,0.5365059971809387,0.5730955600738525,0.5198072791099548,0.5784103274345398
1,22,1.0,1.0,4.537144660949707,5.180246829986572,5.080983832478523,5.612510189414024,0.89296555519104,0.9229819774627686,0.89296555519104,0.9229819774627686,0.9449685215950012,0.9607195258140564,0.6033130884170532,0.709475040435791,0.570111870765686,0.6816065311431885
