epoch,global_step,DS_active_ratio,SD_active_ratio,DS_gate_mean,SD_gate_mean,DS_M0,SD_M0,DS_mass_ratio,SD_mass_ratio,DS_L_RE,SD_L_RE,DS_L_RMD,SD_L_RMD
1,17,1.0,1.0,4.334056854248047,5.157508850097656,5.080983832478523,5.612510189414024,0.8529953956604004,0.91893070936203,0.593976616859436,0.6468324661254883,0.5066593289375305,0.5943942070007324
1,18,0.96875,1.0,4.35947322845459,5.160701751708984,5.080983832478523,5.612510189414024,0.8579976558685303,0.9194995760917664,0.5581242442131042,0.5881053805351257,0.4788692891597748,0.5407626628875732
1,19,1.0,1.0,4.805013656616211,5.432103157043457,5.080983832478523,5.612510189414024,0.9456854462623596,0.9678561091423035,0.5982918739318848,0.6461057662963867,0.5657958984375,0.6253374218940735
1,20,1.0,1.0,5.089744567871094,5.396368503570557,5.080983832478523,5.612510189414024,1.0017240047454834,0.9614891409873962,0.53159099817276,0.6224005818367004,0.5325074791908264,0.598431408405304
1,21,1.0,1.0,4.8110480308532715,5.7539472579956055,5.080983832478523,5.612510189414024,0.9468730688095093,1.0252001285552979,0.5642988681793213,0.6052533984184265,0.5343194007873535,0.6205058693885803
1,22,1.0,1.0,4.515958309173584,5.1685471534729,5.080983832478523,5.612510189414024,0.888795793056488,0.9208974242210388,0.5967559814453125,0.7000374794006348,0.5303941965103149,0.6446627378463745
1,23,1.0,1.0,4.983606338500977,5.395063400268555,5.080983832478523,5.612510189414024,0.9808346629142761,0.9612565636634827,0.584972620010376,0.6298103928565979,0.5737614035606384,0.6054093837738037
1,24,1.0,1.0,5.539752960205078,5.964568614959717,5.080983832478523,5.612510189414024,1.090291142463684,1.0627272129058838,0.5815448760986328,0.6288151741027832,0.6340532302856445,0.6682590246200562
1,25,0.96875,1.0,5.380155563354492,6.06919527053833,5.080983832478523,5.612510189414024,1.0588804483413696,1.0813689231872559,0.6485334038734436,0.6764010787010193,0.6867193579673767,0.7314391136169434
1,26,1.0,1.0,5.758995532989502,6.637068748474121,5.080983832478523,5.612510189414024,1.1334407329559326,1.1825488805770874,0.5372673273086548,0.6176584362983704,0.6089606881141663,0.7304112911224365
1,27,1.0,1.0,5.177552223205566,5.7210869789123535,5.080983832478523,5.612510189414024,1.019005537033081,1.0193452835083008,0.5683536529541016,0.613230288028717,0.5791555047035217,0.625093400478363
1,28,1.0,1.0,5.438117027282715,6.2089762687683105,5.080983832478523,5.612510189414024,1.0702879428863525,1.106274127960205,0.5860532522201538,0.6387895941734314,0.6272457242012024,0.7066764235496521
1,29,1.0,1.0,5.315323829650879,5.874143600463867,5.080983832478523,5.612510189414024,1.0461207628250122,1.0466159582138062,0.5703083872795105,0.6600207090377808,0.5966114401817322,0.690788209438324
1,30,1.0,1.0,5.270333290100098,5.675653457641602,5.080983832478523,5.612510189414024,1.0372660160064697,1.0112502574920654,0.5459117889404297,0.6272135972976685,0.5662557482719421,0.6342698931694031
1,31,1.0,1.0,5.186519145965576,5.601171016693115,5.080983832478523,5.612510189414024,1.0207704305648804,0.997979462146759,0.5318775177001953,0.6157521605491638,0.5429248213768005,0.6145080327987671
